lon,lat,p_iid,p_bym,p_bym_cov
91.6071,37.4725,0.24880239520958083,0.36976047904191617,0.37664670658682636
89.7778,37.2331,0.6428143712574851,0.5859281437125748,0.5712574850299401
87.9694,36.9482,0.668562874251497,0.5718562874251497,0.568562874251497
86.185,36.6188,0.7751497005988024,0.6491017964071857,0.6329341317365269
84.4275,36.2463,0.7305389221556886,0.6832335329341317,0.6913173652694611
81.0033,35.3782,0.8967065868263473,0.6482035928143712,0.6485029940119761
119.5923,36.7595,0.6664670658682634,0.7652694610778443,0.770059880239521
117.8503,37.2331,0.5233532934131736,0.48532934131736527,0.4754491017964072
116.0736,37.6652,0.7164670658682635,0.7359281437125749,0.7338323353293413
114.2645,38.0541,0.829940119760479,0.8520958083832335,0.8437125748502994
112.4259,38.3982,0.7347305389221557,0.7479041916167665,0.7359281437125749
110.561,38.696,0.7982035928143713,0.7907185628742515,0.767065868263473
108.6732,38.9462,0.307185628742515,0.29101796407185626,0.29820359281437125
106.7662,39.1478,0.6769461077844311,0.6832335329341317,0.6751497005988024
104.844,39.2999,0.3664670658682635,0.3778443113772455,0.37395209580838323
102.9108,39.4016,0.27395209580838326,0.22335329341317364,0.2119760479041916
100.971,39.4526,0.18952095808383235,0.19820359281437125,0.18802395209580838
99.029,39.4526,0.2182634730538922,0.21077844311377245,0.18952095808383235
97.0892,39.4016,0.7508982035928143,0.7464071856287425,0.7464071856287425
95.156,39.2999,0.1532934131736527,0.21347305389221558,0.18383233532934132
93.2338,39.1478,0.25898203592814373,0.22574850299401197,0.2251497005988024
91.3268,38.9462,0.18113772455089822,0.14760479041916166,0.13952095808383233
89.439,38.696,0.624251497005988,0.4883233532934132,0.49700598802395207
87.5741,38.3982,0.774251497005988,0.6604790419161677,0.6733532934131736
85.7355,38.0541,0.7461077844311377,0.6970059880239521,0.6946107784431138
83.9264,37.6652,0.6817365269461078,0.8086826347305389,0.812874251497006
82.1497,37.2331,0.6206586826347306,0.5532934131736527,0.5440119760479042
69.3227,32.4447,0.7574850299401198,0.9008982035928144,0.8970059880239521
67.9074,31.7095,0.9583832335329341,0.9853293413173653,0.9859281437125749
128.54,35.1087,1.0,1.0,1.0
126.9657,35.7866,0.6290419161676647,0.5155688622754491,0.5050898203592814
116.607,39.0973,0.7026946107784431,0.7673652694610779,0.755688622754491
114.7436,39.5036,0.7775449101796407,0.7859281437125748,0.7964071856287425
112.8477,39.8634,0.8032934131736527,0.8461077844311378,0.8595808383233533
110.9228,40.1749,0.9203592814371258,0.9062874251497006,0.9137724550898204
108.9726,40.4368,0.5610778443113772,0.5739520958083832,0.5850299401197605
107.0013,40.6478,0.3598802395209581,0.38233532934131736,0.37604790419161677
105.0131,40.807,0.49520958083832334,0.3601796407185629,0.3317365269461078
103.0128,40.9135,0.2437125748502994,0.2059880239520958,0.17724550898203592
101.0051,40.9669,0.20329341317365268,0.07125748502994012,0.059880239520958084
98.9949,40.9669,0.6844311377245509,0.5769461077844311,0.5793413173652695
96.9872,40.9135,0.6179640718562874,0.5035928143712575,0.5092814371257485
94.9869,40.807,0.2341317365269461,0.10089820359281437,0.07994011976047904
92.9987,40.6478,0.37964071856287424,0.3332335329341317,0.3011976047904192
91.0274,40.4368,0.63562874251497,0.6404191616766467,0.6353293413173653
89.0772,40.1749,0.1029940119760479,0.18023952095808382,0.15778443113772456
87.1523,39.8634,0.3652694610778443,0.36976047904191617,0.35538922155688624
85.2564,39.5036,0.4664670658682635,0.34550898203592817,0.3476047904191617
83.393,39.0973,0.7431137724550898,0.8215568862275449,0.8281437125748503
81.5651,38.6462,0.8305389221556886,0.8520958083832335,0.8544910179640719
79.7751,38.152,0.5913173652694611,0.7401197604790419,0.7422155688622755
78.0255,37.6169,0.4050898203592814,0.36976047904191617,0.3287425149700599
68.4486,33.6643,0.7419161676646706,0.8679640718562874,0.868562874251497
67.0115,32.9021,0.21377245508982035,0.3332335329341317,0.33652694610778444
129.4072,36.3855,0.4350299401197605,0.61437125748503,0.6149700598802396
127.8015,37.0903,0.26706586826347306,0.26077844311377246,0.262874251497006
126.1468,37.762,0.6389221556886228,0.5910179640718562,0.584131736526946
119.0577,40.0707,0.35778443113772457,0.4062874251497006,0.4227544910179641
117.1759,40.5421,0.5724550898203593,0.6742514970059881,0.6589820359281438
115.2551,40.9669,0.7158682634730539,0.6865269461077844,0.6811377245508982
113.2986,41.3433,0.5383233532934132,0.46107784431137727,0.4598802395209581
111.3099,41.6694,0.9284431137724551,0.8790419161676647,0.8697604790419161
109.2933,41.9436,0.551497005988024,0.49191616766467067,0.48263473053892214
107.2532,42.1647,0.6,0.562874251497006,0.5751497005988024
105.1944,42.3316,0.7035928143712575,0.6434131736526946,0.6011976047904192
103.1221,42.4433,0.34940119760479044,0.2559880239520958,0.23982035928143713
101.0416,42.4993,0.37604790419161677,0.4026946107784431,0.3850299401197605
98.9584,42.4993,0.38143712574850297,0.27395209580838326,0.27065868263473053
96.8779,42.4433,0.3721556886227545,0.31047904191616765,0.2841317365269461
94.8056,42.3316,0.21706586826347304,0.13233532934131736,0.11646706586826347
92.7468,42.1647,0.5065868263473053,0.5745508982035928,0.5383233532934132
90.7067,41.9436,0.22934131736526947,0.3026946107784431,0.2907185628742515
88.6901,41.6694,0.4233532934131736,0.362874251497006,0.3260479041916168
86.7014,41.3433,0.27035928143712573,0.11526946107784432,0.11586826347305389
84.7449,40.9669,0.47724550898203594,0.255688622754491,0.20359281437125748
82.8241,40.5421,0.7961077844311377,0.8754491017964072,0.8619760479041916
80.9423,40.0707,0.6982035928143713,0.8467065868263473,0.8122754491017964
